N	2gram	Medvedev_V_1	Dialekti
1	и не	1	30
2	и в	2	19
3	потому что	1	14
4	в том	2	14
5	так как	1	14
6	то же	1	12
7	том что	2	10
8	по крайней	1	9
9	крайней мере	1	9
10	в этом	1	8
11	и то	1	7
12	но это	1	7
13	я не	1	6
14	да и	1	6
15	и его	1	5
16	в самом	1	5
17	только в	1	5
18	самом деле	1	4
19	одно и	1	4
20	все это	1	4
21	ясно что	1	4
22	в другом	1	4
23	и только	1	4
24	хотя бы	1	4
25	а только	1	3
26	и почти	1	3
27	все время	1	3
28	ведь это	1	3
29	как же	1	3
30	что имеется	1	2
31	в их	1	2
32	в конце	2	2
33	образы которые	1	2
34	имеется в	1	2
35	именно в	1	2
36	в частности	1	2
37	но разве	1	2
38	говоря о	1	1
39	бы уже	1	1
40	один пример	1	1
41	чем больше	1	1
42	не хотел	1	1
43	собственно и	1	1
44	к чему	1	1
45	сказать чтобы	1	1
46	главным образом	1	1
47	далеко не	1	1
48	не будем	1	1
49	все то	1	1
50	все дело	1	1
51	на одном	1	1
52	же все	1	1
53	время в	1	1
54	хочу сказать	1	1
55	теснейшим образом	1	1
56	даже не	1	1
57	по существу	1	1
58	тем более	1	1
59	конце концов	2	1
60	гораздо более	1	1
