N	4gram	Voloshinov_1	Myshleni
1	один и тот же	3	7
2	одного и того же	5	5
3	одной и той же	2	4
4	с этой точки зрения	1	4
5	так же как и	2	4
6	одним и тем же	1	3
7	одни и те же	5	3
8	в том числе и	2	2
9	все более и более	1	2
10	одна и та же	1	1
11	имеют ничего общего с	1	1
12	двумя сторонами одного и	1	1
13	с объективной точки зрения	3	1
14	не чем иным как	1	1
15	в самом деле если	2	1
16	одну и ту же	1	1
17	не имеют ничего общего	1	1
18	бы то ни было	8	1
19	ни в какой степени	1	1
20	сторонами одного и того	1	1
21	это находит свое выражение	1	1
22	в том что он	1	1
