N	2gram	Voloshinov_1	Hudozhes
1	и в	3	14
2	не только	1	12
3	а не	1	12
4	для него	1	10
5	то же	1	9
6	же время	1	8
7	в его	1	8
8	в то	1	8
9	к тому	1	7
10	не может	4	7
11	точки зрения	1	5
12	не менее	1	5
13	во второй	1	5
14	может быть	1	5
15	но и	1	5
16	художественного целого	1	4
17	в ней	1	4
18	в центре	2	4
19	несмотря на	1	4
20	тому что	1	4
21	связи с	1	4
22	один из	2	4
23	и все	1	4
24	с точки	1	3
25	и на	1	3
26	если бы	1	3
27	может и	1	3
28	если в	2	2
29	бы на	1	2
30	и не	1	2
31	в системе	1	2
32	тех же	1	1
33	с самых	1	1
34	событий и	1	1
35	бы в	1	1
36	нет и	1	1
37	он в	1	1
38	из этих	1	1
39	вопрос что	1	1
40	и школы	2	1
41	его от	1	1
42	о художественной	1	1
43	литературного произведения	1	1
44	достоевского и	2	1
45	и тому	1	1
46	смысл и	1	1
47	лучше всего	1	1
48	на месте	1	1
49	самых первых	1	1
50	именно с	1	1
51	анализа и	1	1
52	осуществления в	1	1
53	на нее	1	1
54	на примере	1	1
55	может не	1	1
56	и событий	1	1
57	не из	1	1
58	себя от	1	1
59	в выборе	1	1
60	в особенности	1	1
61	по своим	1	1
62	можно назвать	1	1
63	вторая половина	1	1
64	не смог	1	1
65	эта вторая	1	1
66	русской литературы	1	1
67	подхода к	1	1
68	увидеть в	1	1
69	художественного и	1	1
