N	3gram	Berdyaev_V_1	Psycholo
1	в том что	2	12
2	к тому что	3	5
3	и в этом	1	3
4	за то что	3	3
5	в первый раз	3	3
6	то что мы	3	3
7	так как она	1	3
8	в конце концов	1	3
9	том что он	2	3
10	и что в	1	3
11	он говорит что	1	2
12	с другой стороны	1	2
13	все тот же	2	2
14	вместо того чтобы	2	2
15	и т д	2	2
16	вместе с тем	1	2
17	мы видим что	1	2
18	в нем нет	2	2
19	будем говорить о	1	1
20	с пути и	1	1
21	все это мы	1	1
22	что есть что-то	1	1
23	и никогда не	1	1
24	и не было	1	1
25	как бы в	1	1
26	но под конец	1	1
27	в словах его	1	1
28	первый раз о	2	1
29	и вместе с	1	1
30	бы то ни	1	1
31	в ней и	1	1
32	в жизни и	1	1
