1	или по крайней мере	1	2
2	не только в том	1	2
3	только в том что	4	2
4	хотя бы даже и	1	2
5	не что иное как	2	2
6	по себе еще не	1	1
7	д и т д	1	1
8	с другой стороны и	1	1
9	с этой точки зрения	1	1
10	еще и потому что	1	1
11	в том смысле что	1	1
12	не говоря уже о	1	1
13	заключается в том что	1	1
14	во всяком случае не	1	1
15	одном и том же	2	1
16	можно было бы сказать	1	1
17	дело в том что	2	1
18	тем не менее в	1	1
19	тем не менее он	1	1
20	в одном и том	2	1
21	бы то ни было	1	1
22	то это было бы	1	1
