N	3gram	Nazirov_Tr_1	Psycholo
1	в том что	2	12
2	о том что	2	10
3	в самом деле	1	7
4	с самого начала	1	5
5	к тому что	1	5
6	что он не	1	4
7	это и есть	1	3
8	и в этом	1	3
9	и т п	1	3
10	смысле этого слова	1	3
11	за то что	1	3
12	точно так же	2	3
13	это не просто	1	3
14	в конце концов	1	3
15	том что он	1	3
16	то что он	1	3
17	во всяком случае	1	3
18	сам по себе	1	2
19	и в частности	2	2
20	не только не	1	2
21	что в ней	1	2
22	вместо того чтобы	1	2
23	и в самом	2	2
24	может быть в	1	1
25	как бы нарочно	1	1
26	в виду не	1	1
27	что все это	1	1
28	все это мы	1	1
29	в той же	1	1
30	или как говорит	1	1
31	мы узнаем в	1	1
32	в этом романе	1	1
33	у него нет	1	1
34	жизнь и в	1	1
35	на русский язык	1	1
36	имеет в виду	1	1
37	и не может	1	1
38	мысль о том	1	1
39	несмотря на все	1	1
40	но еще раз	1	1
41	никогда не был	1	1
42	в то же	5	1
43	то же время	5	1
44	и вместе с	1	1
45	не может жить	1	1
46	с тем и	1	1
47	это как бы	1	1
48	в третий раз	1	1
49	что в таком	1	1
50	своего отца он	1	1
51	не может быть	1	1
