N	4gram	Vinokur_St_3	Psycholo
1	заключается в том что	2	4
2	а с другой стороны	1	2
3	состоит в том что	2	2
4	одной и той же	1	2
5	я имею в виду	1	1
6	пир во время чумы	2	1
7	если принять во внимание	1	1
8	в том смысле в	1	1
9	и когда пушкин говорит	1	1
10	с этой точки зрения	1	1
11	с одной стороны он	1	1
12	понятно если принять во	1	1
13	именно то что он	1	1
14	и в самом деле	1	1
15	приводит к тому что	1	1
16	во время чумы и	1	1
17	на то что в	1	1
18	в каждом отдельном случае	1	1
19	в то время как	4	1
20	в том что именно	1	1
