N	3gram	Nazirov_Vr_1	Komedia
1	в том что	2	9
2	с другой стороны	1	5
3	в то время	1	5
4	в то же	4	4
5	в конце концов	1	4
6	то же время	4	4
7	о том что	1	3
8	речь идет о	1	3
9	в этом отношении	1	3
10	едва ли не	1	3
11	до сих пор	1	2
12	на то что	1	2
13	в эти годы	2	2
14	каждый из них	1	2
15	во всяком случае	1	2
16	в том же	1	1
17	следить за тем	1	1
18	мы знаем о	1	1
19	так же как	1	1
20	в это время	1	1
21	да и в	1	1
22	а между тем	1	1
23	в той же	1	1
24	мы бы назвали	1	1
25	не последнее место	1	1
26	что уже в	1	1
27	независимо от того	1	1
28	в этот период	1	1
29	вскоре после этого	1	1
30	гораздо хуже чем	1	1
31	тем не менее	1	1
32	он был очень	1	1
33	героя нашего времени	1	1
34	но при этом	1	1
35	в ответ на	1	1
36	с тех пор	1	1
37	на этот раз	1	1
38	в свою пользу	1	1
39	автору этих строк	1	1
40	в высшей степени	1	1
41	что у него	1	1
42	к нему с	1	1
43	о которой упоминает	1	1
44	в соответствии с	1	1
