N	2gram	Voloshinov_1	Istorich
1	и в	3	28
2	может быть	1	25
3	а не	1	15
4	не может	4	15
5	то же	1	12
6	не только	1	12
7	мы видим	1	11
8	но и	1	10
9	и не	1	9
10	если бы	1	8
11	в ней	1	7
12	ни один	1	6
13	не менее	1	6
14	к тому	1	6
15	в его	1	5
16	и на	1	4
17	связи с	1	4
18	один из	2	4
19	так называемая	1	3
20	в то	1	3
21	и должно	1	3
22	он в	1	2
23	для него	1	2
24	на нее	1	2
25	в особенности	1	2
26	лучше всего	1	2
27	бы в	1	2
28	можно назвать	1	2
29	художественного произведения	1	1
30	тех же	1	1
31	и больше	1	1
32	из крупнейших	1	1
33	из этих	1	1
34	и социальной	1	1
35	его от	1	1
36	если один	1	1
37	тому что	1	1
38	себя от	1	1
39	с теми	1	1
40	именно с	1	1
41	больше ничего	1	1
42	может не	1	1
43	в языке	1	1
44	не из	1	1
45	на примере	1	1
46	сил которые	1	1
47	истории но	1	1
48	и все	1	1
49	в системе	1	1
50	несмотря на	1	1
