N	3gram	Tiupa_Lite_2	VeschiIm
1	не может быть	7	18
2	бы то ни	1	9
3	то ни было	1	9
4	в том что	5	6
5	по крайней мере	2	6
6	и то же	2	5
7	тем не менее	2	5
8	в свою очередь	1	5
9	одно и то	2	5
10	и то что	1	4
11	в то же	9	4
12	то же время	9	4
13	с точки зрения	3	4
14	подобно тому как	2	3
15	и в то	1	3
16	из того что	1	3
17	можно было бы	1	3
18	только то что	1	3
19	вместе с тем	1	3
20	что в ней	1	2
21	к тому что	1	2
22	этой точки зрения	1	2
23	а так как	1	2
24	в основе своей	1	2
25	какого бы то	1	2
26	но то что	1	2
27	но даже и	1	2
28	в данном случае	3	2
29	с этой точки	1	2
30	о том что	2	1
31	мы не можем	1	1
32	а в том	1	1
33	же как я	2	1
34	что на нем	1	1
35	в самом начале	1	1
36	с одной стороны	6	1
37	и для всех	1	1
38	не только не	1	1
39	в этом случае	2	1
40	в себе не	1	1
41	ее и в	1	1
42	в конце концов	1	1
43	тех или иных	1	1
44	она уже не	1	1
45	с другой стороны	4	1
46	нам быть с	1	1
47	может быть ни	1	1
48	ни с какой	1	1
49	и прежде всего	1	1
50	что он не	1	1
51	в пределах самого	1	1
52	внутренней и внешней	1	1
53	по тем же	1	1
54	не мог бы	1	1
55	речь идет о	3	1
56	случае мы не	1	1
57	и всякой иной	1	1
58	одной стороны и	1	1
59	даже и не	1	1
60	и не может	1	1
61	в себе и	1	1
62	в том чтобы	3	1
63	было бы представить	1	1
64	когда речь идет	1	1
65	для того чтобы	1	1
66	не в том	1	1
67	ни было но	1	1
68	а за ними	1	1
69	на еще более	1	1
