N	2gram	Voloshinov_1	Problemy
1	и в	3	46
2	и не	1	27
3	может быть	1	23
4	не может	4	19
5	не только	1	14
6	но и	1	12
7	и на	1	11
8	точки зрения	1	11
9	а не	1	11
10	с точки	1	9
11	и все	1	9
12	в его	1	9
13	то же	1	6
14	в каждом	1	6
15	в то	1	5
16	же время	1	5
17	конечно и	1	3
18	в центре	2	3
19	из этих	1	3
20	если бы	1	3
21	бы в	1	3
22	если в	2	2
23	нет и	1	2
24	достоевского и	2	2
25	не менее	1	2
26	речь и	1	2
27	к тому	1	2
28	в языке	1	2
29	для него	1	2
30	в конкретном	1	2
31	в системе	1	2
32	нуждаются в	1	1
33	при анализе	1	1
34	язык как	1	1
35	и заставляет	1	1
36	в ней	1	1
37	это направление	1	1
38	без учета	1	1
39	и социальной	1	1
40	несмотря на	1	1
41	бы на	1	1
42	во второй	1	1
43	тому что	1	1
44	первая часть	1	1
45	связи с	1	1
46	на нее	1	1
47	может не	1	1
48	с теми	1	1
49	или иными	1	1
50	один из	2	1
51	мы видим	1	1
52	языка как	1	1
53	себя от	1	1
54	этой проблемы	1	1
55	по своим	1	1
56	подхода к	1	1
57	контекста не	1	1
58	можно назвать	1	1
