N	3gram	Nazirov_Vr_1	Psycholo
1	на то что	1	12
2	в том что	2	11
3	и в самом	1	10
4	с точки зрения	2	9
5	заключается в том	1	6
6	с другой стороны	1	5
7	до сих пор	1	5
8	о том что	1	3
9	и в этом	1	3
10	речь идет о	1	3
11	и то что	1	3
12	о том как	1	2
13	все же в	1	2
14	и то же	1	2
15	что у него	1	2
16	что в этой	1	2
17	во всяком случае	1	2
18	в свою очередь	1	2
19	одно и то	1	2
20	в то время	1	2
21	в мировой литературе	1	1
22	и в ней	1	1
23	в той же	1	1
24	не только не	1	1
25	каждый из них	1	1
26	что в ней	1	1
27	может быть и	1	1
28	а между тем	1	1
29	а с другой	1	1
30	не может быть	2	1
31	в комментариях к	1	1
32	как бы в	1	1
33	но и это	1	1
34	не было бы	1	1
35	имел в виду	3	1
36	в этом отношении	1	1
37	в высшей степени	1	1
38	и все же	5	1
39	он как бы	1	1
40	которые до сих	1	1
41	и что в	2	1
42	речь идет не	1	1
43	как раз в	2	1
44	не только как	1	1
