N	3gram	Medvedev_S_1	Vladivir
1	в том что	2	7
2	в то же	1	4
3	то же время	1	4
4	в конце концов	2	3
5	и в то	1	2
6	на первый план	1	2
7	главным образом в	1	2
8	во всяком случае	1	2
9	а в том	1	1
10	с одной стороны	1	1
11	это и есть	1	1
12	в этой области	1	1
13	и потому его	1	1
14	и в этом	1	1
15	дело не в	2	1
16	а с другой	1	1
17	только то что	1	1
18	в этом не	1	1
19	этом не было	1	1
20	но только в	1	1
21	в настоящее время	1	1
22	в связи с	1	1
23	по существу дела	1	1
24	что он говорит	1	1
25	выдвигает на первый	1	1
26	кто не способен	1	1
