N	3gram	Medvedev_S_1	Myshleni
1	в том что	2	21
2	с одной стороны	1	7
3	во всяком случае	1	6
4	в связи с	1	6
5	по отношению к	2	5
6	а с другой	1	4
7	в конечном счете	1	4
8	по существу дела	1	2
9	то же самое	1	2
10	сама по себе	1	2
11	друг от друга	1	2
12	что все это	1	1
13	о том как	1	1
14	что в них	1	1
15	благодаря тому что	1	1
16	но ведь это	2	1
17	отношению к которому	1	1
18	ведь это же	1	1
19	на первый план	1	1
20	дело не в	2	1
21	том и заключается	1	1
22	тотчас же по	1	1
23	в том и	1	1
24	только то что	1	1
25	и мы не	1	1
26	не может не	1	1
27	по существу это	1	1
28	не в том	2	1
29	то что в	1	1
