N	4gram	Berdyaev_N_1	Mirosoze
1	о человеке и его	1	5
2	и вместе с тем	1	4
3	переходит в свою противоположность	1	2
4	то нет и человека	1	2
5	в глубочайшем смысле слова	1	2
6	в то время как	1	2
7	том смысле в каком	1	1
8	в конце новой истории	1	1
9	а не в том	1	1
10	человека не может быть	1	1
11	не во имя свободы	1	1
12	в том смысле в	1	1
13	она не может быть	1	1
14	это не значит что	2	1
15	когда мы говорим что	1	1
16	в ней нет ничего	1	1
17	в том случае если	1	1
18	слова а не в	1	1
19	есть вместе с тем	1	1
20	смысле слова а не	1	1
