N	4gram	Losev_Prob_4	Psycholo
1	заключается в том что	1	4
2	не что иное как	2	2
3	в очень редких случаях	1	1
4	в том виде как	2	1
5	если принять во внимание	1	1
6	в том что мы	1	1
7	с одной стороны это	1	1
8	если иметь в виду	1	1
9	с этой точки зрения	1	1
10	ни в чем не	1	1
11	заключается в том чтобы	1	1
12	и т д мы	1	1
13	так же как и	1	1
14	то же самое мы	1	1
15	мы имеем дело с	1	1
16	в то время как	2	1
17	дело в том что	1	1
18	только в очень редких	1	1
19	но никак не к	1	1
20	только обратить внимание на	1	1
