N	4gram	Bakhtin_fo_1	Stilisti
1	в то же время	6	7
2	одно и то же	3	4
3	в тех случаях когда	1	2
4	в связи с этим	2	2
5	но в то же	1	2
6	и в то же	4	2
7	и для того чтобы	1	2
8	но для того чтобы	2	2
9	вместе с тем и	1	2
10	одном и том же	1	1
11	одну и ту же	1	1
12	в одном и том	1	1
13	не связанных между собой	1	1
14	всего бросается в глаза	1	1
15	всего того что было	1	1
16	в жизни и в	1	1
17	как мы уже знаем	1	1
18	вне всякой связи с	1	1
19	одного и того же	5	1
20	с нашей точки зрения	3	1
21	но все же и	1	1
22	но вместе с тем	1	1
