N	4gram	Savitsky_E_1	Formalny
1	в то же время	14	5
2	в связи с этим	1	3
3	и в то же	8	3
4	и то и другое	1	2
5	в том смысле что	1	2
6	большей или меньшей степени	1	1
7	только в том случае	1	1
8	и прежде всего в	1	1
9	один и тот же	1	1
10	совершенно очевидно что в	1	1
11	то же время в	1	1
12	так и в характере	1	1
13	из всего этого следует	1	1
14	и до настоящего времени	1	1
15	от этого отнюдь не	1	1
16	в том случае если	1	1
17	не говоря уже о	1	1
18	в большей или меньшей	1	1
19	например с точки зрения	2	1
20	но в то же	2	1
21	то же время не	1	1
