N	2gram	Medvedev_V_1	Hudozhes
1	и не	1	16
2	в том	2	15
3	и в	2	15
4	в частности	1	13
5	и его	1	12
6	в этом	1	11
7	то же	1	10
8	сводится к	1	8
9	том что	2	6
10	в их	1	5
11	в самом	1	5
12	только в	1	5
13	в другом	1	4
14	а только	1	4
15	и т.д	1	4
16	речи и	1	4
17	и то	1	4
18	одно и	1	3
19	так в	1	3
20	потому что	1	3
21	далеко не	1	3
22	в значительной	1	2
23	теории литературы	1	2
24	значительной степени	1	2
25	и составляет	1	2
26	именно в	1	2
27	тем более	1	2
28	я не	1	2
29	а.н веселовского	2	2
30	говоря иначе	1	2
31	ни к	1	2
32	столь же	1	1
33	то я	1	1
34	собственно и	1	1
35	крайней мере	1	1
36	за свою	1	1
37	в конце	2	1
38	говоря о	1	1
39	чего не	1	1
40	время в	1	1
41	все то	1	1
42	к чему	1	1
43	более чем	1	1
44	этом и	1	1
45	одном и	1	1
46	ведь это	1	1
47	да и	1	1
48	все это	1	1
49	по поводу	1	1
50	том же	1	1
51	по крайней	1	1
52	и том	1	1
53	по своим	1	1
54	так как	1	1
