N	3gram	Savitsky_P_1	Morfolog
1	и т д	1	47
2	не может быть	1	8
3	с точки зрения	3	4
4	с другой стороны	1	4
5	если мы не	1	3
6	далеко не все	1	3
7	с одной стороны	3	2
8	в большинстве случаев	1	2
9	тем и другим	1	2
10	для того чтобы	1	2
11	в том что	4	2
12	в настоящее время	1	2
13	более или менее	1	2
14	мы не сумеем	1	2
15	ни к чему	1	2
16	в собственном смысле	1	2
17	и в качестве	1	1
18	в то же	7	1
19	и вслед за	1	1
20	друг с другом	1	1
21	нужно помнить что	2	1
22	эти могут быть	1	1
23	как таковые как	1	1
24	а в качестве	1	1
25	но в этом	1	1
26	но и другие	1	1
27	и в какой	1	1
28	то же время	7	1
29	каждый в отдельности	1	1
30	в применении к	1	1
31	во всяком случае	1	1
32	если бы мы	1	1
33	а в с	1	1
