N	3gram	Medvedev_U_1	Problemy
1	в то же	3	12
2	то же время	3	12
3	не может быть	4	6
4	и в то	1	5
5	в этом смысле	2	4
6	бы то ни	3	4
7	то ни было	3	4
8	и прежде всего	1	4
9	но в то	1	3
10	в конце концов	2	3
11	с другой стороны	3	3
12	а между тем	2	3
13	в самом деле	2	3
14	по крайней мере	2	3
15	не входит в	1	2
16	друг с другом	1	2
17	тем что он	1	2
18	хотя бы и	2	2
19	же время не	1	2
20	в этом случае	1	2
21	и что все	1	2
22	большей или меньшей	1	1
23	этом смысле можно	1	1
24	таким образом на	1	1
25	это было и	1	1
26	до сих пор	2	1
27	в том что	2	1
28	можно сказать что	1	1
29	было и так	1	1
30	или меньшей степени	1	1
31	смысле можно сказать	1	1
32	и то что	2	1
33	на то что	1	1
34	и у других	1	1
35	не может обойтись	1	1
36	но даже и	2	1
37	в большей или	1	1
38	никогда и не	1	1
39	в этом отношении	2	1
40	этом отношении очень	1	1
41	он и делает	1	1
42	о нем но	1	1
43	в данном случае	1	1
