N	3gram	Berdyaev_O_1	Problema
1	о том что	1	9
2	в том что	1	8
3	и то что	1	3
4	как будто бы	1	3
5	после того как	1	3
6	но и в	2	2
7	и не в	1	2
8	и никогда не	2	2
9	для того чтобы	3	2
10	на то что	1	2
11	во всяком случае	1	2
12	не может быть	2	2
13	в виду не	1	1
14	не было и	1	1
15	сам по себе	1	1
16	человека вообще и	1	1
17	только и состоит	1	1
18	да и то	1	1
19	у него не	2	1
20	и в этом	2	1
21	как бы и	1	1
22	и в том	1	1
23	людей но и	1	1
24	в самом деле	1	1
25	от того что	1	1
26	в силу чего	1	1
27	потому что у	1	1
28	бросается в глаза	1	1
29	что не все	1	1
30	приходит в голову	1	1
31	и в его	1	1
32	нет у него	1	1
33	не в силах	1	1
34	в этом отношении	1	1
35	человека а не	1	1
36	и он не	1	1
37	не приходит в	1	1
38	в легенде о	3	1
39	что у него	2	1
40	и все же	1	1
41	но никогда не	1	1
42	все еще не	1	1
43	а вовсе не	1	1
44	хотя и не	1	1
45	о том как	1	1
