N	4gram	Tiupa_Anal_2	Narrotol
1	во времени и пространстве	1	4
2	в то же время	2	3
3	обращает на себя внимание	3	3
4	не что иное как	1	2
5	в том или ином	2	2
6	состоит в том что	4	2
7	в литературе нового времени	1	1
8	о том что случилось	1	1
9	в частности писал что	1	1
10	высказывания в том или	1	1
11	в самом деле не	1	1
12	не о том что	1	1
13	недискурсивных формах внутренней речи	1	1
14	своего рода ключ к	1	1
15	мира вокруг я героя	1	1
16	к тому же в	1	1
17	на себя внимание и	1	1
18	в недискурсивных формах внутренней	1	1
19	имеем дело не с	1	1
20	с этой точки зрения	1	1
21	на себя внимание что	1	1
22	но о том что	1	1
23	мы имеем дело с	1	1
24	организации кадров внутреннего зрения	1	1
25	субъект объект и адресат	1	1
26	как уже говорилось выше	1	1
27	в организации кадров внутреннего	1	1
28	том что случилось однажды	1	1
29	мы имеем дело не	1	1
30	единственный в тексте случай	1	1
31	креативного и рецептивного сознаний	1	1
32	что вообще характерно для	1	1
33	есть не что иное	1	1
