N	4gram	Medvedev_V_1	Problemy
1	в то же время	5	5
2	и не может быть	2	5
3	в том числе и	2	3
4	большей или меньшей степени	2	2
5	до сих пор не	1	2
6	но в то же	1	2
7	нет и не может	1	2
8	в большей или меньшей	2	2
9	с одной стороны и	2	1
10	одно и то же	1	1
11	не может обойтись без	1	1
12	в той или иной	1	1
13	и в то же	3	1
14	одну и ту же	1	1
15	и так или иначе	1	1
16	как если бы он	1	1
17	во время работы над	1	1
18	между ними нет и	1	1
19	никогда не может быть	1	1
20	уже сама по себе	1	1
21	иметь в виду что	1	1
22	но между ними нет	1	1
23	то это вовсе не	1	1
