N	2gram	Medvedev_V_1	Problema
1	и в	2	30
2	в этом	1	17
3	том что	2	17
4	потому что	1	13
5	в том	2	12
6	и не	1	12
7	только в	1	9
8	в конце	2	8
9	и его	1	6
10	так как	1	6
11	конце концов	2	6
12	и то	1	5
13	в самом	1	5
14	по крайней	1	4
15	ясно что	1	4
16	крайней мере	1	4
17	далеко не	1	4
18	в частности	1	4
19	гораздо более	1	4
20	в другом	1	3
21	все время	1	3
22	для них	1	3
23	именно в	1	3
24	самом деле	1	2
25	то же	1	2
26	я не	1	2
27	дело в	1	2
28	в значительной	1	2
29	и только	1	2
30	да и	1	2
31	по существу	1	2
32	хотя бы	1	2
33	по поводу	1	2
34	к этому	1	2
35	в их	1	1
36	хотел сказать	1	1
37	время в	1	1
38	а только	1	1
39	главным образом	1	1
40	за свою	1	1
41	все это	1	1
42	в устах	1	1
43	и мало	1	1
44	имеется в	1	1
45	сводится к	1	1
46	не стоило	1	1
47	стоит на	1	1
48	даже не	1	1
49	но это	1	1
50	под влиянием	1	1
51	с большой	1	1
52	тем более	1	1
