N	4gram	Bakhtin_Fr_1	formyVre
1	в то же время	1	4
2	как мы уже сказали	3	3
3	в том числе и	7	2
4	мы имеем в виду	1	2
5	в средние века и	2	2
6	в эпизоде воспитания гаргантюа	1	1
7	в фабльо и шванках	1	1
8	до сих пор еще	3	1
9	иной форме и степени	1	1
10	в той или иной	5	1
11	той или иной форме	4	1
12	и почти вовсе не	1	1
13	изображении человеческого тела в	1	1
14	и в большинстве случаев	1	1
15	жизни но и в	1	1
16	все более и более	1	1
17	и др все эти	1	1
18	мы уже говорили что	2	1
19	как мы уже говорили	2	1
20	принадлежит к самой природе	1	1
21	в изображении человеческого тела	1	1
22	или иной форме и	1	1
23	тела и телесной жизни	1	1
24	в литературе и в	1	1
25	переплетаются друг с другом	1	1
26	к себе самому и	1	1
27	в том что он	1	1
28	но в то же	1	1
29	средние века и в	2	1
30	еды питья испражнений половой	1	1
31	и у других представителей	1	1
32	и пр и пр	1	1
33	в эпоху возрождения но	1	1
34	в романе рабле вовсе	1	1
35	форм для своего выражения	1	1
