N	3gram	Vinokur_St_3	Myshleni
1	в том что	11	21
2	с точки зрения	4	18
3	для того чтобы	1	10
4	заключается в том	2	7
5	с одной стороны	2	7
6	на то что	3	6
7	во всяком случае	4	6
8	что мы знаем	1	6
9	в связи с	3	6
10	не может быть	5	6
11	можно было бы	1	5
12	о том что	4	4
13	в самом деле	1	4
14	мы знаем об	1	4
15	а с другой	2	4
16	все что мы	1	4
17	в предисловии к	2	4
18	в том чтобы	2	4
19	по этому поводу	2	3
20	вместе с ним	1	3
21	состоит в том	3	3
22	в эту пору	1	3
23	в собственном смысле	1	3
24	в этом отношении	4	3
25	в том же	1	2
26	не потому что	1	2
27	на протяжении всего	1	2
28	в этом смысле	4	2
29	вопрос о том	1	2
30	того что в	1	2
31	в первые годы	1	2
32	только тогда когда	2	2
33	то же самое	1	2
34	то что он	1	2
35	на самом деле	1	2
36	речь идет о	1	2
37	более или менее	1	2
38	и в самом	1	2
39	на вопрос о	1	2
40	потому что он	2	2
41	как раз в	1	2
42	из этих двух	1	1
43	с самого начала	2	1
44	и в качестве	1	1
45	одной стороны а	1	1
46	и в некоторых	1	1
47	приводит к тому	1	1
48	он наблюдал в	1	1
49	что в них	1	1
50	благодаря тому что	1	1
51	по этому пути	1	1
52	гораздо раньше чем	1	1
53	то обстоятельство что	5	1
54	нельзя не признать	1	1
55	и в частности	1	1
56	можно сказать что	1	1
57	не только не	1	1
58	сказать что это	1	1
59	он говорит что	1	1
60	во внимание значение	1	1
61	до сих пор	2	1
62	дело не в	1	1
63	что это есть	2	1
64	в том смысле	2	1
65	его мышления как	1	1
66	он забывает о	1	1
67	связи с этим	1	1
68	с другой стороны	4	1
69	все более и	2	1
70	но так как	1	1
71	с тем что	3	1
72	и мн др	1	1
73	тот или иной	1	1
74	сам по себе	1	1
75	стороны а с	1	1
76	этой точки зрения	1	1
77	в течение лет	1	1
78	но на самом	1	1
79	или иной мере	1	1
80	с которым мы	1	1
81	он не может	1	1
82	той или иной	1	1
83	в применении к	1	1
84	доказательств того что	1	1
85	точку зрения на	1	1
86	мы имеем в	2	1
87	с ним и	1	1
88	можно сравнить с	1	1
89	том что такое	1	1
90	дети как и	1	1
91	как мы видели	1	1
92	в той или	1	1
93	в свое время	1	1
94	том смысле что	1	1
95	иметь в виду	1	1
96	в такой же	1	1
97	в известном смысле	1	1
98	не может не	1	1
99	по существу это	1	1
100	том что он	1	1
101	каждая из этих	1	1
102	свою точку зрения	1	1
103	как и вообще	1	1
104	не в том	3	1
105	более и более	2	1
106	то что в	1	1
