N	3gram	Berdyaev_N_1	Problema
1	о том что	1	14
2	во всяком случае	1	10
3	в этом смысле	2	5
4	с одной стороны	2	5
5	с другой стороны	2	5
6	как будто бы	1	5
7	до сих пор	1	4
8	в том что	1	4
9	есть прежде всего	1	4
10	это значит что	1	3
11	но и в	1	3
12	будет сказать что	1	3
13	не может быть	4	3
14	себе и в	1	2
15	подобно тому как	3	2
16	в том числе	1	2
17	в том случае	1	2
18	вопрос о том	2	2
19	это и есть	1	2
20	можно было бы	1	2
21	когда мы говорим	2	2
22	не только в	1	2
23	может быть только	1	2
24	сказать что все	1	2
25	та или иная	1	2
26	имея в виду	1	2
27	том числе и	1	2
28	сами по себе	1	2
29	вообще не существует	1	1
30	так же как	2	1
31	но такого рода	1	1
32	не будет и	1	1
33	значение и не	1	1
34	и совсем не	1	1
35	что в этом	1	1
36	прежде всего как	1	1
37	отказаться от того	1	1
38	ни одна из	2	1
39	то нет и	1	1
40	том случае если	1	1
41	споры о том	1	1
42	и не может	1	1
43	же как и	1	1
44	никогда не могла	1	1
45	в то время	1	1
46	что она не	1	1
47	xix и xx	4	1
48	он не может	2	1
49	для этого она	1	1
50	что в нем	2	1
51	в известном смысле	1	1
52	вместе с тем	2	1
53	в зависимости от	1	1
54	только потому что	1	1
55	то что в	1	1
56	и в последние	1	1
57	не ставит никаких	1	1
58	потому что не	1	1
59	то время как	1	1
60	но я могу	1	1
61	и xx веков	3	1
