N	3gram	Tiupa_Hudo_2	FransuaR
1	в том числе	1	10
2	том числе и	1	7
3	в том что	11	6
4	той или иной	1	5
5	до сих пор	2	4
6	это уже не	1	3
7	так и не	4	3
8	в этом отношении	1	3
9	с точки зрения	2	3
10	в это время	1	2
11	и в том	1	2
12	и т.п в	1	2
13	и в других	1	2
14	как раз и	1	2
15	в значительной степени	1	2
16	но все же	1	2
17	дело в том	1	2
18	с одной стороны	3	2
19	жизни в ее	1	1
20	при этом что	1	1
21	лежит в основе	1	1
22	человека в его	1	1
23	в одном из	1	1
24	в то же	4	1
25	в самом деле	3	1
26	в самом начале	1	1
27	жизни и смерти	1	1
28	более глубокое и	1	1
29	именно потому что	1	1
30	можно сказать что	1	1
31	сводится к тому	1	1
32	то же время	4	1
33	этого мотива у	1	1
34	с другой стороны	1	1
35	к тому же	2	1
36	а между тем	3	1
37	как бы в	1	1
38	по отношению к	7	1
39	жизни как в	1	1
40	тому же в	1	1
41	в настоящее время	1	1
42	но еще и	2	1
43	нет и не	1	1
44	не только в	2	1
45	то или иное	1	1
46	с самим собой	1	1
47	между тем в	1	1
48	то что было	2	1
49	для него всегда	1	1
50	это в значительной	1	1
51	он вовсе не	1	1
52	но при этом	3	1
53	друг от друга	1	1
54	для того чтобы	3	1
55	в частности и	1	1
56	все более и	1	1
57	как и всякая	1	1
58	более и более	1	1
59	зрения на мир	1	1
60	не может быть	3	1
