N	4gram	Medvedev_V_1	Problema
1	в то время как	1	4
2	одно и то же	1	3
3	не имеет ничего общего	1	3
4	в том смысле что	1	3
5	в том или ином	1	2
6	той или иной мере	1	2
7	в той или иной	1	2
8	но с другой стороны	1	2
9	на то или иное	1	1
10	это и значит что	1	1
11	имеет ничего общего с	1	1
12	по одному тому что	2	1
13	не может быть никакого	1	1
14	уже по одному тому	2	1
15	то это вовсе не	1	1
16	не чем иным как	1	1
17	с этой точки зрения	1	1
18	чем же в таком	1	1
19	с теми или иными	1	1
20	не может быть и	1	1
21	вовсе не значит что	1	1
22	и может быть даже	1	1
23	том или ином отношении	1	1
24	мы в данном случае	1	1
25	же в таком случае	1	1
26	является не чем иным	1	1
27	так же как и	1	1
28	уже сама по себе	1	1
29	ответ на этот вопрос	1	1
30	может быть и речи	1	1
31	это вовсе не значит	1	1
