N	3gram	Berdyaev_M_1	slovoVRo
1	и т п	1	33
2	не может быть	17	15
3	человек и его	1	12
4	в отличие от	1	12
5	в значительной степени	1	6
6	в том что	1	4
7	по отношению к	2	4
8	в отношении к	1	4
9	в зависимости от	1	4
10	человеке и его	5	3
11	оно не может	1	3
12	себя в них	1	3
13	во всяком случае	1	2
14	в его романах	2	2
15	никогда не может	2	2
16	у него нет	1	2
17	может быть и	1	2
18	для того чтобы	2	2
19	до сих пор	2	2
20	быть до конца	1	2
21	хотя бы и	2	2
22	не только в	2	2
23	не могут быть	2	2
24	не меньше чем	1	2
25	а вовсе не	1	2
26	выходят за пределы	1	1
27	в романах достоевского	1	1
28	на протяжении всего	1	1
29	о том что	1	1
30	между тем как	1	1
31	он не только	2	1
32	мы увидим что	3	1
33	до конца и	1	1
34	и в плане	1	1
35	выйти за пределы	1	1
36	она не может	1	1
37	все это не	1	1
38	что он не	2	1
39	был прежде всего	2	1
40	есть не только	3	1
41	друг к другу	1	1
42	между этими двумя	1	1
43	и не может	2	1
44	в нем есть	1	1
45	к нему не	1	1
46	более и более	1	1
47	но в нем	1	1
48	с собой других	1	1
49	и в нем	3	1
50	значит конечно что	1	1
51	это не значит	2	1
52	определяющее значение в	1	1
53	от него и	1	1
54	уже не только	2	1
55	он никогда не	2	1
56	но оно не	1	1
57	и ту же	1	1
58	одну и ту	1	1
59	не до конца	1	1
60	ивана карамазова и	2	1
61	в нем нет	1	1
62	жизни и в	1	1
63	к нему и	1	1
64	не значит конечно	1	1
65	но и в	4	1
66	не может не	2	1
67	в них не	1	1
68	в нем не	2	1
69	а не в	4	1
70	а не только	2	1
71	во всех этих	1	1
72	все более и	1	1
73	для нас в	1	1
74	мира может быть	1	1
75	нужно сказать что	1	1
76	и в смысле	1	1
