N	4gram	Losev_Vlad_2	Dialekti
1	не что иное как	1	8
2	в то же время	3	6
3	не в том что	1	4
4	или по крайней мере	2	3
5	не говоря уже о	2	3
6	и в то же	1	2
7	не имеет никакого отношения	1	2
8	но в то же	1	2
9	имеет никакого отношения к	1	2
10	что в сравнении с	1	1
11	точно так же нужно	1	1
12	тут тоже нет ничего	1	1
13	заключается не в том	1	1
14	по крайней мере до	1	1
15	и тем не менее	1	1
16	в связи с этим	1	1
17	мере до некоторой степени	1	1
18	дело в том что	3	1
19	но дело в том	2	1
20	крайней мере до некоторой	1	1
21	но тем не менее	1	1
