N	4gram	Vinokur_Ku_3	Problemy
1	в то же время	1	5
2	в той или иной	2	3
3	по себе еще не	1	2
4	если бы не было	1	1
5	не с точки зрения	1	1
6	в самом деле в	1	1
7	сама по себе еще	1	1
8	в собственном смысле слова	1	1
9	и не может быть	1	1
10	то это вовсе не	1	1
11	а может быть и	1	1
12	и т д но	1	1
13	с двух точек зрения	1	1
14	строить свою речь в	1	1
15	тем более интересна что	1	1
16	и т п в	3	1
17	той или иной степени	1	1
18	и т п так	1	1
19	никогда не может быть	1	1
20	той или иной форме	1	1
21	можно было бы привести	2	1
