1	в том что	5	9
2	тем не менее	2	6
3	и то что	1	5
4	что же касается	1	5
5	по крайней мере	2	4
6	с точки зрения	3	3
7	в отличие от	1	3
8	не в том	1	3
9	в то же	9	3
10	то же время	9	3
11	о том что	2	3
12	в конце концов	1	3
13	говоря уже о	2	2
14	в том чтобы	3	2
15	можно было бы	1	2
16	а в том	1	2
17	не говоря уже	2	2
18	и в году	1	2
19	в свою очередь	1	2
20	как мы видели	1	2
21	в данном случае	3	2
22	после того как	1	2
23	как и следовало	1	1
24	а по существу	1	1
25	в самом начале	1	1
26	в том числе	2	1
27	в сравнении с	2	1
28	я в этом	1	1
29	он не может	1	1
30	а в конце	1	1
31	в стихотворении с	1	1
32	и в то	1	1
33	еще в году	2	1
34	в своем внутреннем	1	1
35	в первый раз	2	1
36	к этой книге	1	1
37	в свое время	2	1
38	но то что	1	1
39	вместе с тем	1	1
40	имел в виду	1	1
41	ничего общего с	1	1
42	в этом случае	2	1
43	для того чтобы	1	1
44	в этом отношении	3	1
45	в ноябре года	1	1
46	а не с	1	1
47	не может быть	7	1
48	мы с ним	1	1
49	но тем что	3	1
50	том что только	1	1
51	до тех пор	1	1
52	тех пор пока	1	1
53	не только как	1	1
54	речь шла о	1	1
55	что в сравнении	1	1
56	нам представляется что	1	1
57	вместе с ним	1	1
58	и наконец в	1	1
59	но даже и	1	1
60	за то что	2	1
61	может быть названа	1	1
62	одно что со	1	1
63	о гораздо более	1	1
64	случае мы не	1	1
65	и прежде всего	1	1
66	бы то ни	1	1
67	в году но	1	1
68	и притом в	1	1
69	в этом же	1	1
70	как нам представляется	1	1
71	только то что	1	1
