N	4gram	Tiupa_Narr_1	Psycholo
1	с этой точки зрения	1	4
2	не может быть сведена	1	2
3	может быть сведена к	1	2
4	дело в том что	1	1
5	включает в себя и	1	1
6	в той мере в	1	1
7	одного и того же	1	1
8	в том числе и	4	1
9	той мере в какой	1	1
10	же как и в	1	1
11	один и тот же	1	1
12	но в таком случае	1	1
13	в том или ином	2	1
14	не что иное как	2	1
15	речь идет не только	1	1
16	состоит в том что	2	1
17	точно так же как	2	1
18	состоит в том чтобы	1	1
19	поскольку речь идет о	1	1
20	идет не только о	1	1
