1	более устойчивой синтаксической интонации	1	1
2	есть она отчетливее всего	1	1
3	понятие о социальной оценке	1	1
4	с этой точки зрения	1	1
5	сколько-нибудь ясное и отчетливое	1	1
6	один и тот же	1	1
7	но там где она	1	1
8	экспрессивная интонация совсем не	1	1
9	всего дает понятие о	1	1
10	в собственном смысле слова	1	1
11	на место старшей и	1	1
12	конечно экспрессивная интонация совсем	1	1
13	интонации экспрессивная интонация окрашивающая	1	1
14	отличие от более устойчивой	1	1
15	не обязательна но там	1	1
16	окрашивающая каждое слово высказывания	1	1
17	синтаксической интонации экспрессивная интонация	1	1
18	нет и не может	2	1
19	устойчивой синтаксической интонации экспрессивная	1	1
20	слово высказывания отражает историческую	1	1
21	в то же время	7	1
22	дает понятие о социальной	1	1
23	там где она есть	2	1
24	от более устойчивой синтаксической	1	1
25	обязательна но там где	1	1
26	врывается на место старшей	1	1
27	где она есть она	1	1
28	в отличие от более	1	1
29	материала в зависимости от	1	1
30	мы не касаемся здесь	1	1
31	через известный промежуток времени	1	1
32	только в связи с	1	1
33	отражает историческую неповторимость его	1	1
34	отчетливее всего дает понятие	1	1
35	она отчетливее всего дает	1	1
36	каждое слово высказывания отражает	1	1
37	интонация окрашивающая каждое слово	1	1
38	интонация совсем не обязательна	1	1
39	и не может быть	3	1
40	одна из существеннейших проблем	1	1
41	высказывания отражает историческую неповторимость	1	1
42	экспрессивная интонация окрашивающая каждое	1	1
43	совсем не обязательна но	1	1
44	она есть она отчетливее	1	1
45	иметь в виду что	1	1
