N	3gram	Berdyaev_N_1	Analitik
1	о том что	1	6
2	в том что	1	6
3	с одной стороны	2	4
4	подобно тому как	3	3
5	как и в	1	3
6	в этом смысле	2	2
7	в этой системе	1	2
8	с другой стороны	2	2
9	в отличие от	1	2
10	можно было бы	1	2
11	по природе своей	1	2
12	в значительной степени	1	2
13	не только в	1	2
14	в одну из	1	1
15	и во всех	1	1
16	себя на место	1	1
17	как это было	1	1
18	ни одна из	2	1
19	не может остаться	1	1
20	а не с	1	1
21	что она не	1	1
22	в том смысле	1	1
23	которые могут быть	1	1
24	в известном смысле	1	1
25	со всех сторон	3	1
26	но и в	1	1
27	сами по себе	1	1
28	не может быть	4	1
