N	3gram	Medvedev_S_1	Myslijsy
1	в том что	2	13
2	по отношению к	2	13
3	и в этом	1	6
4	не в том	2	4
5	а в том	1	3
6	в то же	1	3
7	с одной стороны	1	3
8	в противном случае	1	3
9	а между тем	1	3
10	сама по себе	1	3
11	то же время	1	3
12	бы они ни	1	2
13	по крайней мере	1	2
14	в том и	1	2
15	друг от друга	1	2
16	они ни были	1	2
17	в сущности есть	1	1
18	что в них	1	1
19	в связи с	1	1
20	не в этих	1	1
21	и как только	1	1
22	не было бы	1	1
23	случае пришлось бы	1	1
24	только то что	1	1
25	противном случае пришлось	1	1
26	что на ней	1	1
27	то что в	1	1
28	во всяком случае	1	1
29	именно в том	1	1
