N	4gram	Vygotskiy__3	VeschiIm
1	бы то ни было	1	9
2	не что иное как	1	8
3	есть не что иное	1	5
4	указывает на то что	1	3
5	заключается в том что	6	2
6	с этой точки зрения	2	2
7	какого бы то ни	1	2
8	ни в каком случае	1	1
9	и вместе с тем	2	1
10	мы видим таким образом	1	1
11	не только потому что	1	1
12	одному и тому же	1	1
13	это значит что в	1	1
14	видим таким образом что	1	1
15	к одному и тому	1	1
16	из того что мы	1	1
17	одного и того же	4	1
18	для этого метода является	1	1
19	в то время как	4	1
