N	2gram	Medvedev_B_1	Istorich
1	и в	1	22
2	что в	1	15
3	не только	1	14
4	и не	2	12
5	еще не	1	10
6	таким образом	1	10
7	другой стороны	1	7
8	с другой	1	7
9	не все	1	6
10	не вполне	1	6
11	а не	1	6
12	все же	1	5
13	к ней	1	4
14	у нас	3	4
15	и на	1	4
16	в пределах	1	4
17	в данном	1	4
18	стоит на	1	3
19	прежде всего	1	3
20	и ее	1	3
21	далеко не	1	3
22	его не	1	3
23	было бы	1	3
24	во всяком	1	2
25	вопрос о	1	2
26	не было	1	2
27	совершенно не	1	2
28	так и	1	2
29	же не	1	2
30	на самом	1	2
31	и о	1	2
32	и потому	1	2
33	всяком случае	1	2
34	в ней	2	2
35	как будто	1	2
36	и более	1	2
37	больше чем	2	1
38	это повторяется	1	1
39	должна быть	1	1
40	кроме того	1	1
41	об этом	1	1
42	одной из	1	1
43	неудивительно что	1	1
44	отнюдь не	1	1
45	в своей	1	1
46	не то	2	1
47	остановиться на	1	1
48	бы только	1	1
49	видеть в	2	1
50	в книге	1	1
51	нет но	1	1
52	также что	1	1
53	о них	1	1
54	все это	2	1
55	не следует	1	1
56	никак не	1	1
57	на которой	1	1
58	можно было	2	1
