N	4gram	Vygotskiy__7	Psycholo
1	заключается в том что	4	7
2	одной и той же	2	4
3	в том что он	2	3
4	в том что она	2	3
5	то же самое что	2	2
6	точно так же как	2	2
7	для того чтобы показать	1	2
8	в том что в	1	2
9	представление о том что	2	2
10	же самое что и	1	2
11	в том и заключается	1	2
12	в то время как	2	2
13	привело к тому что	1	1
14	до тех пор пока	1	1
15	одно и то же	3	1
16	том и заключается что	1	1
17	не что иное как	1	1
18	с этой точки зрения	4	1
19	в силу того что	1	1
20	есть не что иное	1	1
21	так и во всех	1	1
22	само по себе но	1	1
23	не только ничего не	1	1
24	том что он не	1	1
25	приводит к тому что	2	1
26	для того чтобы сделать	2	1
27	и не может быть	1	1
28	что с этой точки	1	1
29	потому что все это	1	1
30	все больше и больше	2	1
31	если мы примем во	1	1
32	друг с другом и	1	1
33	случае не может быть	1	1
34	мы примем во внимание	1	1
35	до сих пор ни	1	1
36	так же как и	1	1
37	мы вправе были бы	1	1
