N	4gram	Vinokur_Ku_3	Problemy
1	в то же время	1	9
2	и в то же	1	2
3	и т п все	2	2
4	по себе еще не	1	2
5	которая как раз и	1	1
6	уже само по себе	1	1
7	что бы то ни	1	1
8	зависимости от того в	1	1
9	ни на минуту не	1	1
10	можно было бы сказать	3	1
11	лишь с точки зрения	2	1
12	заключается в том что	1	1
13	не в том что	2	1
14	и не могут быть	1	1
15	во что бы то	1	1
16	с точки зрения ее	1	1
17	до самого последнего времени	1	1
18	бы то ни стало	1	1
19	в зависимости от того	3	1
20	в зависимости от них	1	1
21	т п все это	1	1
