N	4gram	Medvedev_F_2	Problemy
1	в то же время	5	9
2	но в то же	1	5
3	то же время не	1	3
4	и в то же	3	2
5	и т п все	1	2
6	и не входит в	2	2
7	и в этом отношении	2	2
8	той же степени как	1	1
9	большей или меньшей степени	1	1
10	что же это за	1	1
11	совпадает с самим собою	1	1
12	ведь в противном случае	1	1
13	и во всяком случае	1	1
14	что бы то ни	1	1
15	не тем что он	1	1
16	совершенно в той же	1	1
17	в одной плоскости в	1	1
18	прежде и больше всего	1	1
19	не в том что	1	1
20	в неразрывной связи с	1	1
21	в зависимости от различных	1	1
22	в зависимости от характера	1	1
23	то же время и	1	1
24	тем что он есть	1	1
25	мы имеем в виду	1	1
26	в той же степени	1	1
27	и до известной степени	1	1
28	в большей или меньшей	1	1
29	во что бы то	1	1
30	бы то ни стало	1	1
31	все новые и новые	1	1
