N	3gram	Berdyaev_O_1	Psycholo
1	в том что	1	17
2	для того чтобы	3	13
3	в самом деле	1	11
4	не может быть	2	8
5	на то что	1	6
6	в этом отношении	1	5
7	о том что	1	4
8	сам по себе	1	4
9	в том случае	1	4
10	том случае если	1	4
11	и в самом	1	4
12	с тем что	2	3
13	само по себе	1	3
14	том что в	1	2
15	по сравнению с	1	2
16	как и в	1	2
17	и в том	1	2
18	и никогда не	2	2
19	заключает в себе	1	2
20	и то что	1	2
21	и когда он	1	2
22	и не может	1	2
23	не в том	1	2
24	во всяком случае	1	2
25	это было бы	2	2
26	искать не в	2	2
27	до самого конца	2	1
28	о том как	1	1
29	друг с другом	1	1
30	он должен был	1	1
31	и характер его	1	1
32	действующие лица в	1	1
33	и не очень	1	1
34	от того что	1	1
35	потому что в	1	1
36	того чтобы сделать	1	1
37	все его творчество	1	1
38	все это было	1	1
39	бросается в глаза	1	1
40	нет ничего кроме	2	1
41	но и тут	1	1
42	он не только	1	1
43	как будто бы	1	1
44	он никогда не	1	1
45	не могут быть	2	1
46	вместо того чтобы	1	1
47	но и в	2	1
48	не так как	1	1
49	а не только	1	1
50	после того как	1	1
51	указывали на то	1	1
52	тем что у	1	1
53	ли может быть	1	1
