N	3gram	Tiupa_Lite_3	formyVre
1	то же время	7	9
2	и т п	1	8
3	в то же	7	6
4	для того чтобы	1	5
5	в связи с	1	5
6	в том числе	3	4
7	к себе самому	2	4
8	как раз в	1	4
9	по отношению к	4	3
10	в этом отношении	5	3
11	может быть только	1	3
12	не может быть	3	3
13	жизни в ее	1	2
14	с одной стороны	4	2
15	и в частности	2	2
16	и тех же	1	2
17	в том что	4	2
18	в определенном месте	1	2
19	в отличие от	5	2
20	одних и тех	1	2
21	не только в	2	2
22	той или иной	2	2
23	одной стороны и	2	2
24	вместе с тем	1	2
25	и не только	1	2
26	но и в	2	2
27	том числе и	2	2
28	с точки зрения	3	2
29	в соответствии с	3	2
30	к тому же	5	2
31	в самую гущу	1	1
32	о том что	4	1
33	жизнью на один	1	1
34	в самом начале	1	1
35	в другом месте	1	1
36	и в словах	1	1
37	в самом деле	2	1
38	на этой почве	1	1
39	и у нас	1	1
40	отношения к себе	1	1
41	в реальное время	1	1
42	и в том	1	1
43	тогда когда оно	1	1
44	но отнюдь не	1	1
45	никогда не бывает	1	1
46	в значительной степени	1	1
47	внешних и внутренних	1	1
48	и в самом	2	1
49	сама по себе	1	1
50	в основе этих	1	1
51	в той или	1	1
52	в данном случае	4	1
53	числе и в	1	1
54	в себе и	1	1
55	во всей ее	1	1
56	потому что не	2	1
57	точки зрения которого	1	1
58	раз в том	1	1
59	в жизни но	1	1
60	автора и его	1	1
61	в этом счастье	1	1
62	их может быть	1	1
63	я и другого	1	1
64	в свою очередь	1	1
65	в историческом времени	1	1
66	вместе с ними	1	1
67	пространством и временем	1	1
