N	3gram	Savitsky_P_1	TeoriaLi
1	в отличие от	1	7
2	в то же	7	6
3	в том что	4	6
4	то же время	7	6
5	более или менее	1	4
6	в этом смысле	1	3
7	с другой стороны	1	3
8	с одной стороны	3	2
9	и тем самым	1	2
10	в этом мире	1	2
11	тот или иной	1	2
12	не может быть	1	2
13	с точки зрения	3	2
14	можно говорить о	1	1
15	с тем же	1	1
16	между тем в	1	1
17	в том числе	2	1
18	в большинстве случаев	1	1
19	– все это	1	1
20	и в то	2	1
21	но в то	1	1
22	именно потому что	1	1
23	но в отличие	1	1
24	для того чтобы	1	1
25	в настоящее время	1	1
26	и теперь в	1	1
27	начала и конца	1	1
28	в русской культуре	1	1
29	том что в	1	1
30	в сравнении с	3	1
31	та или иная	1	1
32	мы видим в	1	1
33	в известном смысле	1	1
34	ни к чему	1	1
35	не только мы	1	1
36	так же как	1	1
37	только в условиях	1	1
38	том числе и	1	1
39	есть как бы	1	1
40	в отношении к	5	1
