N	4gram	Vygotskiy__6	EvropaiC
1	заключается в том что	5	3
2	одного и того же	4	3
3	совершенно так же как	1	3
4	несмотря на то что	2	2
5	в том что развитие	1	1
6	том и в другом	1	1
7	в том числе и	1	1
8	но вместе с тем	1	1
9	приводит к тому что	1	1
10	то же самое что	1	1
11	и не может быть	1	1
12	и в другом случае	1	1
13	одной и той же	3	1
14	в том же направлении	2	1
15	только тогда когда оно	1	1
16	в своем развитии и	1	1
17	но мы знаем что	1	1
18	того чтобы ответить на	1	1
19	и в конце концов	1	1
20	по отношению к таким	1	1
21	он не может не	1	1
22	в том что оно	3	1
23	нет и не может	1	1
24	для того чтобы ответить	1	1
25	в том и в	1	1
26	но с другой стороны	1	1
27	в этой области не	1	1
28	в то время как	5	1
29	принять во внимание что	1	1
30	состоит в том что	2	1
31	с психологической точки зрения	1	1
