N	4gram	Vinokur_Ku_3	Myshleni
1	заключается в том что	1	5
2	в силу того что	1	5
3	одного и того же	2	4
4	одной и той же	1	3
5	в том смысле что	1	2
6	когда мы говорим что	1	2
7	не с точки зрения	1	1
8	только в силу того	1	1
9	после того как ему	1	1
10	в зависимости от той	1	1
11	то же самое что	1	1
12	ясно что в первом	1	1
13	в этом смысле можно	1	1
14	один и тот же	2	1
15	и не может быть	1	1
16	с точки зрения изучения	1	1
17	в собственном смысле слова	1	1
18	становится возможным только в	1	1
19	в то время когда	1	1
20	возможным только в силу	1	1
21	с этой точки зрения	1	1
22	и в зависимости от	1	1
23	как самостоятельная и независимая	1	1
24	по отношению к таким	1	1
25	что в первом случае	1	1
26	в зависимости от того	3	1
27	и не могут быть	1	1
28	в самом деле как	1	1
