N	3gram	Propp_Morf_1	Mirosoze
1	не может быть	9	8
2	друг к другу	2	5
3	для того чтобы	2	4
4	что и в	1	4
5	к тому что	3	3
6	в высшей степени	1	3
7	до сих пор	1	3
8	о том что	1	2
9	подобно тому как	5	2
10	мы увидим что	1	2
11	как и в	2	2
12	после того как	1	2
13	но это не	1	2
14	может быть и	2	2
15	по отношению к	4	2
16	в том что	3	2
17	к другу и	2	2
18	который может быть	1	1
19	не потому что	1	1
20	человеческой природой и	1	1
21	так же не	1	1
22	может быть названо	3	1
23	но это и	1	1
24	к соединению с	1	1
25	друг на друга	2	1
26	потому что в	1	1
27	она должна быть	1	1
28	на то что	2	1
29	не означает что	1	1
30	сих пор не	1	1
31	в этом нет	1	1
32	на самом деле	4	1
33	и в последней	1	1
34	и в этой	1	1
35	в этом отношении	1	1
36	между тем в	1	1
37	что вопрос о	1	1
38	в тот момент	1	1
39	том что он	1	1
40	с точки зрения	2	1
41	сомневаться в том	1	1
42	во втором случае	1	1
43	но так как	1	1
