N	2gram	Medvedev_I_1	Vladivir
1	и в	1	30
2	в этом	2	20
3	и не	2	18
4	и с	3	14
5	что в	2	12
6	а в	1	11
7	а также	1	10
8	для него	1	9
9	никогда не	1	7
10	жизни и	1	6
11	того же	1	5
12	все эти	1	5
13	так и	1	5
14	того что	1	5
15	все это	1	5
16	я не	1	4
17	в целом	1	4
18	он не	2	4
19	это было	1	4
20	и о	1	4
21	с а	1	4
22	после смерти	1	4
23	по поводу	1	4
24	в них	1	3
25	вплоть до	1	3
26	по существу	1	3
27	же это	1	2
28	и сам	1	2
29	нисколько не	1	2
30	последний не	1	2
31	и очень	1	2
32	на котором	1	2
33	того чтобы	1	2
34	ничего не	2	2
35	себя в	1	2
36	для того	1	2
37	что для	1	2
38	бы его	1	2
39	и др	1	1
40	тех же	1	1
41	не слишком	1	1
42	говорить о	1	1
43	а для	1	1
44	следовательно в	1	1
45	слишком много	1	1
46	хотя его	1	1
47	бы что	2	1
48	более чем	1	1
49	о жизни	1	1
50	за границей	1	1
51	и и	1	1
52	пушкина и	1	1
53	и еще	1	1
54	в первую	1	1
55	нее и	1	1
56	от нее	1	1
57	них не	1	1
58	а по	1	1
59	первую очередь	1	1
60	его личности	1	1
61	не так	1	1
62	и без	1	1
63	нам в	1	1
64	если бы	1	1
65	как о	1	1
66	было не	1	1
67	во многом	1	1
68	и та	1	1
69	неудивительно что	1	1
70	со всеми	1	1
71	и творчества	1	1
72	тем что	1	1
73	то и	1	1
74	то она	1	1
75	есть только	1	1
76	что роман	1	1
77	оба они	2	1
78	но когда	1	1
