N	4gram	Losev_Dial_2	VLabPisa
1	в то же время	3	5
2	и в то же	1	3
3	с одной стороны и	1	2
4	по одному тому что	1	2
5	в том отношении что	1	2
6	вовсе не значит что	1	1
7	бы и не быть	1	1
8	есть одно и то	1	1
9	в том смысле что	3	1
10	е более или менее	1	1
11	не говоря уже о	2	1
12	это вовсе не значит	1	1
13	именно в том что	1	1
14	и может быть даже	1	1
15	же в таком случае	1	1
16	уже сама по себе	1	1
17	о том как он	1	1
18	в то время как	3	1
19	одно и то же	4	1
20	приводит к тому что	1	1
21	и вместе с тем	1	1
22	т е более или	1	1
23	не в том что	1	1
24	теснейшим образом связана с	1	1
25	же время никогда не	1	1
26	так же как и	1	1
27	то это вовсе не	1	1
