N	2gram	Medvedev_V_1	Problemy
1	и в	2	34
2	и не	1	29
3	и его	1	16
4	в этом	1	16
5	все это	1	16
6	то же	1	14
7	самом деле	1	13
8	потому что	1	12
9	в другом	1	8
10	в самом	1	8
11	я не	1	7
12	только в	1	6
13	не хочу	1	6
14	все время	1	5
15	хотя бы	1	5
16	в конце	2	5
17	да и	1	4
18	так как	1	4
19	но это	1	4
20	конце концов	2	3
21	и то	1	3
22	крайней мере	1	3
23	сводится к	1	3
24	в том	2	3
25	под влиянием	1	3
26	по крайней	1	3
27	далеко не	1	3
28	бы уже	1	3
29	том что	2	3
30	так в	1	2
31	и только	1	2
32	к чему	1	2
33	на одном	1	2
34	столь же	1	2
35	в которых	1	2
36	и почти	1	2
37	они на	1	1
38	главным образом	1	1
39	в значительной	1	1
40	не одно	1	1
41	то я	1	1
42	в устах	1	1
43	том же	1	1
44	в их	1	1
45	одно и	1	1
46	концов его	1	1
47	что слово	1	1
48	значительной степени	1	1
49	не хотел	1	1
50	ведь это	1	1
51	ясно что	1	1
52	же все	1	1
53	находится под	1	1
54	роли не	1	1
55	слово по	1	1
56	новых приемов	1	1
57	с несколько	1	1
58	и сводится	1	1
59	и заключается	1	1
