N	4gram	Losev_Prob_2	EvropaiC
1	в том случае если	1	4
2	отличаются друг от друга	1	3
3	заключается в том что	2	3
4	что до сих пор	1	2
5	несмотря на то что	1	2
6	бы то ни было	1	2
7	уже о том что	1	1
8	в том числе и	2	1
9	а на самом деле	1	1
10	ясно также и то	2	1
11	тем не менее в	1	1
12	только в том случае	2	1
13	в самом деле если	1	1
14	и не может быть	1	1
15	ни то ни другое	1	1
16	одной и той же	2	1
17	не может не быть	1	1
18	в том или ином	1	1
19	представление о том что	1	1
20	а может быть и	1	1
21	говоря уже о том	1	1
22	не говоря уже о	4	1
23	указание на то что	1	1
24	дело заключается в том	1	1
25	также и то что	2	1
26	мысль о том что	2	1
27	в то время как	1	1
28	даже в этом случае	1	1
