N	3gram	Tiupa_Anal_3	Marksizm
1	с точки зрения	2	20
2	не может быть	1	13
3	в самом деле	1	9
4	до сих пор	1	8
5	в связи с	1	7
6	и того же	3	5
7	в отличие от	2	5
8	одного и того	3	5
9	с другой стороны	5	5
10	всех без исключения	3	4
11	и тот же	1	3
12	в то же	3	3
13	в большинстве случаев	1	3
14	и здесь мы	1	3
15	один и тот	1	3
16	можно сказать что	2	3
17	для того чтобы	1	3
18	в том что	7	3
19	в этом случае	1	3
20	и т.п в	1	3
21	отнюдь не является	1	3
22	в первом случае	1	3
23	то же время	3	3
24	в этом отношении	3	3
25	на этот вопрос	1	3
26	не могут быть	1	2
27	одной и той	2	2
28	вопрос о том	1	2
29	до тех пор	1	2
30	во всяком случае	2	2
31	в этом смысле	1	2
32	слова как и	1	2
33	и прежде всего	2	2
34	как если бы	1	2
35	по отношению к	7	2
36	и той же	2	2
37	сама по себе	2	2
38	со всех сторон	1	2
39	тем не менее	2	2
40	в свою очередь	4	2
41	в таком случае	1	2
42	подобно тому как	2	1
43	так или иначе	1	1
44	а в том	2	1
45	и в сущности	1	1
46	с одной стороны	2	1
47	так и в	1	1
48	выходит далеко за	1	1
49	этого слова как	1	1
50	во многих отношениях	1	1
51	и так сказать	1	1
52	субъективного сознания к	1	1
53	в слове как	1	1
54	до известной степени	3	1
55	не только не	3	1
56	пор совершенно не	1	1
57	хотя бы и	1	1
58	не менее чем	1	1
59	по ту сторону	1	1
60	что было бы	1	1
61	тот или иной	2	1
62	и как бы	1	1
63	на самом деле	1	1
64	который мог бы	1	1
65	по природе своей	1	1
66	таким образом в	1	1
67	части работы мы	1	1
68	в значительной степени	2	1
69	не только в	1	1
70	в основе своей	1	1
71	той или иной	3	1
72	в применении к	1	1
73	в данном контексте	1	1
74	и т.п все	1	1
75	в частности как	1	1
76	нашего времени не	1	1
77	к субъекту и	1	1
78	в особенности же	1	1
79	как бы ни	1	1
80	о чем речь	2	1
81	в результате чего	1	1
82	друг от друга	1	1
83	том что он	2	1
84	не рассчитан на	1	1
85	в первой части	1	1
86	к этому же	1	1
87	в гораздо более	1	1
88	само по себе	1	1
89	ту или иную	1	1
90	совпадая со своей	1	1
91	между собой и	1	1
92	во втором случае	1	1
93	а между тем	1	1
