N	3gram	Kanaev_Sov_1	Psycholo
1	в том что	1	9
2	не может быть	4	8
3	в самом деле	1	7
4	во всяком случае	2	6
5	с одной стороны	1	5
6	в зависимости от	4	5
7	не в том	1	5
8	так же как	1	4
9	одной и той	1	3
10	до сих пор	1	3
11	в отличие от	2	3
12	и той же	1	3
13	в конечном счете	1	3
14	мы не можем	6	2
15	в этом смысле	1	2
16	на самом деле	1	2
17	в том случае	1	2
18	мы видели что	3	2
19	то же самое	2	2
20	мы видим что	1	2
21	в настоящее время	2	2
22	и что следовательно	1	2
23	не было бы	1	2
24	с точки зрения	5	2
25	тем не менее	2	2
26	ясного и отчетливого	1	1
27	и тот же	1	1
28	дело в том	1	1
29	в этой области	1	1
30	в которой он	1	1
31	и не было	1	1
32	к одному и	1	1
33	разложить ее на	1	1
34	том случае когда	1	1
35	и во всех	1	1
36	что при таком	1	1
37	вместе с последней	1	1
38	оно может быть	1	1
39	и в этом	1	1
40	когда мы говорим	1	1
41	одни и те	1	1
42	а может быть	1	1
43	ясно что при	1	1
44	физика и химия	1	1
45	нуждаются в объяснении	1	1
46	равны между собой	1	1
47	совершенно так же	1	1
48	с самого начала	3	1
49	может быть только	1	1
50	что в каждом	1	1
51	такой же мере	1	1
52	дело идет о	1	1
53	у каждого из	1	1
54	мы не знаем	1	1
55	не что иное	1	1
56	один и тот	1	1
57	одной стороны и	1	1
58	не могут быть	1	1
59	в связи с	1	1
60	что иное как	1	1
61	в известном смысле	1	1
62	совершенно независимо от	1	1
63	на этот раз	1	1
64	сами по себе	1	1
65	заключает в себе	1	1
66	в том как	1	1
67	не может не	3	1
68	то он уже	1	1
69	в процессе развития	1	1
70	в такой же	1	1
71	и те же	1	1
72	может быть в	1	1
73	в свою очередь	2	1
74	и могут быть	1	1
75	у нас есть	1	1
