N	3gram	Berdyaev_V_1	Stilisti
1	то что мы	3	4
2	но все же	1	3
3	в конце концов	1	3
4	но и в	2	3
5	в общественной жизни	1	2
6	к тому что	3	2
7	как бы в	1	2
8	вместе с тем	1	2
9	мы видим что	1	2
10	и в сознании	1	2
11	и не было	1	1
12	по сравнению с	1	1
13	это еще не	2	1
14	и в этом	1	1
15	и никогда не	1	1
16	с другой стороны	1	1
17	в будущем когда	1	1
18	хотя бы и	1	1
19	в том что	2	1
20	все это как	1	1
21	в жизни и	1	1
22	только себя только	1	1
23	и в жизни	1	1
24	уж конечно не	2	1
25	и в вопросе	1	1
26	не будет уже	2	1
27	все что было	1	1
28	как и в	1	1
29	к людям к	1	1
30	времени по крайней	1	1
31	по крайней мере	1	1
