N	3gram	Nazirov_Vr_1	Dialekti
1	по крайней мере	1	9
2	с точки зрения	2	8
3	в том что	2	6
4	о том что	1	4
5	и то же	1	4
6	то же время	4	4
7	с другой стороны	1	4
8	в связи с	3	4
9	одно и то	1	4
10	в то же	4	3
11	может быть и	1	3
12	в то время	1	3
13	не может быть	2	3
14	или по крайней	1	2
15	что это за	1	2
16	но это не	1	2
17	до сих пор	1	2
18	во всяком случае	1	2
19	с тех пор	1	2
20	имеется в виду	1	2
21	что в нем	1	2
22	тем не менее	1	2
23	и с тех	1	2
24	заключается в том	1	1
25	это и есть	1	1
26	это то что	1	1
27	в этом смысле	1	1
28	связи с этим	1	1
29	так же как	1	1
30	и то что	1	1
31	точно так же	1	1
32	мы приближаемся к	1	1
33	в это время	1	1
34	и в то	1	1
35	и в этом	1	1
36	в конце концов	1	1
37	равно как и	1	1
38	как раз в	2	1
39	– одна из	1	1
40	это конечно гораздо	1	1
41	всего то что	1	1
42	и не может	1	1
43	не забудем что	1	1
44	на первый взгляд	1	1
45	речь идет о	1	1
46	это не просто	1	1
47	то что они	1	1
48	но и это	1	1
49	независимо от того	1	1
50	о том как	1	1
51	это дает нам	1	1
52	в этом отношении	1	1
53	но при этом	1	1
54	все же не	1	1
55	мне и я	1	1
56	о котором уже	1	1
57	то же только	1	1
58	– это не	1	1
