N	4gram	Tiupa_Disk_1	Myshleni
1	заключается в том что	1	13
2	одно и то же	1	6
3	одного и того же	2	5
4	одному и тому же	1	4
5	к одному и тому	1	4
6	одним и тем же	1	3
7	одни и те же	1	3
8	и тем же словом	1	3
9	состоит в том что	1	3
10	с одной стороны и	2	2
11	в том числе и	2	2
12	к тому или иному	1	2
13	только в том что	1	2
14	внимание на то что	1	1
15	мы имеем дело с	1	1
16	в равной мере и	1	1
17	в том случае если	1	1
18	не говоря уже о	2	1
19	в том что он	1	1
20	в том что в	2	1
21	интересуют в первую очередь	1	1
