N	2gram	Medvedev_V_1	Psycholo
1	и в	2	33
2	в этом	1	28
3	все время	1	24
4	потому что	1	24
5	том что	2	22
6	в том	2	21
7	и не	1	13
8	все это	1	13
9	самом деле	1	12
10	в самом	1	12
11	все то	1	12
12	так как	1	12
13	то же	1	9
14	в конце	2	8
15	совершенно ясно	1	8
16	и только	1	7
17	ясно что	1	5
18	и его	1	5
19	я не	1	4
20	только в	1	4
21	по поводу	1	4
22	в частности	1	4
23	к этому	1	4
24	конце концов	2	3
25	далеко не	1	3
26	в которых	1	3
27	да и	1	3
28	и то	1	2
29	столь же	1	2
30	в их	1	2
31	все дело	1	2
32	сводится к	1	2
33	не хотел	1	2
34	даже не	1	2
35	именно в	1	2
36	по существу	1	2
37	хотя бы	1	2
38	говоря о	1	1
39	к созданию	1	1
40	которые они	1	1
41	и стоит	1	1
42	более чем	1	1
43	же с	1	1
44	и положения	1	1
45	главным образом	1	1
46	в другом	1	1
47	с несколько	1	1
48	и обработки	1	1
49	дело в	1	1
50	что сами	1	1
51	техники и	1	1
52	и заключается	1	1
53	жизни которое	1	1
54	на одном	1	1
55	в теории	1	1
56	от других	1	1
57	по своим	1	1
58	так в	1	1
59	степени уже	1	1
60	но это	1	1
61	каждая новая	1	1
62	и самым	1	1
63	но разве	1	1
64	речи и	1	1
65	его языка	1	1
66	гораздо более	1	1
