N	3gram	Medvedev_U_1	Literetu
1	в то же	3	9
2	то же время	3	9
3	не может быть	4	7
4	с одной стороны	1	6
5	в том что	2	5
6	в конечном счете	4	5
7	с другой стороны	3	4
8	в этом отношении	2	3
9	в данном случае	1	3
10	в этом случае	1	2
11	по крайней мере	2	2
12	для тех кто	1	1
13	бы то ни	3	1
14	в не меньшей	1	1
15	или иных приемов	1	1
16	в конце концов	2	1
17	тех или иных	2	1
18	и в то	1	1
19	является одним из	1	1
20	то ни было	3	1
21	по нашему мнению	3	1
22	и прежде всего	1	1
23	же время не	1	1
24	то же самое	2	1
25	как нам представляется	1	1
26	и то что	2	1
27	не меньшей степени	1	1
28	не могут быть	2	1
29	то что было	1	1
30	быть не может	1	1
31	самом деле есть	1	1
32	не в том	1	1
33	нам представляется что	1	1
34	но даже и	2	1
