N	3gram	Berdyaev_V_1	Myslijsy
1	в том что	2	7
2	по крайней мере	1	5
3	а между тем	2	4
4	то и другое	1	4
5	и т д	2	3
6	не могут быть	1	3
7	так и в	1	2
8	с другой стороны	1	2
9	и в жизни	1	2
10	есть прежде всего	1	2
11	то что мы	3	2
12	после того как	1	2
13	в одно целое	1	2
14	есть одна из	1	1
15	бы то ни	1	1
16	по сравнению с	1	1
17	и в этом	1	1
18	как и в	1	1
19	оно не имеет	1	1
20	в человеке и	1	1
21	не могут и	1	1
22	но все же	1	1
23	вместе с тем	1	1
24	даже что в	1	1
25	все что есть	3	1
26	тому что все	1	1
27	и то и	1	1
28	в сознании и	1	1
29	то что я	2	1
30	т д и	1	1
31	том что он	2	1
32	что все в	1	1
