N	4gram	Bakhtin_Fr_2	slovoVRo
1	в то же время	6	12
2	и в то же	2	5
3	во всех его моментах	1	4
4	но в то же	3	4
5	большей или меньшей степени	3	3
6	в большей или меньшей	3	3
7	или во всяком случае	1	2
8	как мы уже сказали	1	2
9	было с точки зрения	1	1
10	в тесной связи с	1	1
11	в большинстве случаев не	1	1
12	всех его моментах как	1	1
13	одной и той же	1	1
14	и до наших дней	1	1
15	вводит в свое произведение	1	1
16	свое выражение в ряде	1	1
17	мы имеем в виду	1	1
18	выражение в ряде особенностей	1	1
19	на самом же деле	1	1
20	во всех своих моментах	1	1
21	находит свое выражение в	1	1
22	дело в том что	1	1
23	то же время в	1	1
24	рядом друг с другом	1	1
25	точка зрения на мир	1	1
26	в своей книге о	1	1
