N	3gram	Berdyaev_V_1	Narrotol
1	в том что	2	8
2	с другой стороны	1	4
3	но все же	1	4
4	бы то ни	1	3
5	которым можно было	2	2
6	что нет у	1	2
7	и в форме	1	2
8	в известном смысле	1	2
9	на том свете	1	2
10	никогда не было	1	1
11	как это случилось	1	1
12	том что он	2	1
13	по крайней мере	1	1
14	и должна быть	1	1
15	но от этого	1	1
16	и над ними	2	1
17	не могли бы	1	1
18	свободного выбора в	1	1
19	в первый раз	3	1
20	и не было	1	1
21	в мире и	1	1
22	так и в	1	1
23	есть прежде всего	1	1
24	как и в	1	1
