N	3gram	Berdyaev_N_1	FransuaR
1	в том числе	1	10
2	том числе и	1	7
3	в том что	1	6
4	до сих пор	1	4
5	в средние века	3	4
6	в отличие от	1	4
7	нового времени и	1	3
8	выходит за пределы	1	3
9	и еще не	1	3
10	в новое время	1	3
11	в большинстве случаев	1	2
12	в значительной степени	1	2
13	но и в	1	2
14	с одной стороны	2	2
15	и в большинстве	1	1
16	не могут быть	1	1
17	но нет и	1	1
18	это тем что	1	1
19	в этой системе	1	1
20	с другой стороны	2	1
21	это конечно не	1	1
22	имея в виду	1	1
23	все эти формы	2	1
24	должно было быть	1	1
25	xix века и	2	1
26	нового времени его	1	1
27	и не может	1	1
28	и до сих	1	1
29	жизни как в	1	1
30	в своем развитии	1	1
31	не только в	1	1
32	нового времени не	1	1
33	сами по себе	1	1
34	по своей природе	1	1
35	может быть только	1	1
36	которые господствовали в	1	1
37	в наши дни	3	1
38	который в известном	1	1
39	в нем нет	2	1
40	место в жизни	1	1
41	и в наши	1	1
42	в известном смысле	1	1
43	в эпоху ренессанса	1	1
44	они возникают не	1	1
45	во всяком случае	1	1
46	в эту эпоху	1	1
47	и пр в	1	1
48	не может быть	4	1
